"Year","ID","Name","Median.Household.Income.","X90..Confidence.Interval"
2019,4000,"Arizona","62,027","61,584 to 62,470"
2010,4013,"Maricopa County","50,424","49,954 to 50,894"
2011,4013,"Maricopa County","50,785","50,105 to 51,465"
2012,4013,"Maricopa County","51,442","50,954 to 51,930"
2013,4013,"Maricopa County","52,066","51,495 to 52,637"
2014,4013,"Maricopa County","53,929","52,982 to 54,876"
2015,4013,"Maricopa County","56,017","55,327 to 56,707"
2016,4013,"Maricopa County","58,742","57,878 to 59,606"
2017,4013,"Maricopa County","62,221","61,696 to 62,746"
2018,4013,"Maricopa County","65,234","64,449 to 66,019"
2019,4013,"Maricopa County","68,634","67,568 to 69,700"
2010,4019,"Pima County","44,293","42,809 to 45,777"
2011,4019,"Pima County","44,102","42,591 to 45,613"
2012,4019,"Pima County","44,745","43,440 to 46,050"
2013,4019,"Pima County","43,926","42,800 to 45,052"
2014,4019,"Pima County","45,871","44,632 to 47,110"
2015,4019,"Pima County","47,107","46,114 to 48,100"
2016,4019,"Pima County","47,644","46,136 to 49,152"
2017,4019,"Pima County","51,392","50,304 to 52,480"
2018,4019,"Pima County","53,395","51,984 to 54,806"
2019,4019,"Pima County","56,150","54,588 to 57,712"
2010,5000,"Arkansas","38,413","37,806 to 39,020"
2011,5000,"Arkansas","38,889","38,167 to 39,611"
2012,5000,"Arkansas","40,151","39,666 to 40,636"
2013,5000,"Arkansas","40,605","39,921 to 41,289"
2014,5000,"Arkansas","41,335","40,702 to 41,968"
2015,5000,"Arkansas","42,046","41,574 to 42,518"
2016,5000,"Arkansas","44,406","43,530 to 45,282"
2017,5000,"Arkansas","45,916","45,181 to 46,651"
2018,5000,"Arkansas","47,094","46,401 to 47,787"
2019,5000,"Arkansas","49,020","48,177 to 49,863"
2010,5119,"Pulaski County","44,733","42,826 to 46,640"
2011,5119,"Pulaski County","43,898","41,714 to 46,082"
2012,5119,"Pulaski County","44,819","42,432 to 47,206"
2013,5119,"Pulaski County","46,526","44,226 to 48,826"
2014,5119,"Pulaski County","45,698","43,100 to 48,296"
2015,5119,"Pulaski County","46,473","44,555 to 48,391"
2016,5119,"Pulaski County","47,966","45,354 to 50,578"
2017,5119,"Pulaski County","52,361","49,760 to 54,962"
2018,5119,"Pulaski County","49,957","48,141 to 51,773"
2019,5119,"Pulaski County","52,684","49,832 to 55,536"
2010,6000,"California","57,664","57,316 to 58,012"
2011,6000,"California","57,275","56,997 to 57,553"
2012,6000,"California","58,322","57,972 to 58,672"
2013,6000,"California","60,185","59,931 to 60,439"
2014,6000,"California","61,927","61,689 to 62,165"
2015,6000,"California","64,483","64,091 to 64,875"
2016,6000,"California","67,715","67,361 to 68,069"
2017,6000,"California","71,785","71,492 to 72,078"
2018,6000,"California","75,250","74,934 to 75,566"
2019,6000,"California","80,423","80,110 to 80,736"
2010,6001,"Alameda County","66,937","65,510 to 68,364"
2011,6001,"Alameda County","67,295","65,680 to 68,910"
2012,6001,"Alameda County","70,209","68,893 to 71,525"
2013,6001,"Alameda County","72,128","70,566 to 73,690"
2014,6001,"Alameda County","76,996","75,788 to 78,204"
2015,6001,"Alameda County","81,462","80,249 to 82,675"
2016,6001,"Alameda County","89,472","87,862 to 91,082"
2017,6001,"Alameda County","95,550","93,504 to 97,596"
2018,6001,"Alameda County","101,744","100,351 to 103,137"
2019,6001,"Alameda County","107,589","105,354 to 109,824"
2010,6013,"Contra Costa County","73,678","71,878 to 75,478"
2011,6013,"Contra Costa County","74,241","71,679 to 76,803"
2012,6013,"Contra Costa County","74,208","72,512 to 75,904"
2013,6013,"Contra Costa County","78,909","76,035 to 81,783"
2014,6013,"Contra Costa County","80,338","78,400 to 82,276"
2015,6013,"Contra Costa County","83,036","80,380 to 85,692"
2016,6013,"Contra Costa County","90,920","89,413 to 92,427"
2017,6013,"Contra Costa County","95,062","92,560 to 97,564"
2018,6013,"Contra Costa County","101,463","100,009 to 102,917"
2019,6013,"Contra Costa County","106,555","103,354 to 109,756"
2010,6019,"Fresno County","44,869","43,721 to 46,017"
2011,6019,"Fresno County","42,572","41,268 to 43,876"
2012,6019,"Fresno County","41,563","40,498 to 42,628"
2013,6019,"Fresno County","43,741","42,488 to 44,994"
2014,6019,"Fresno County","43,338","41,508 to 45,168"
2015,6019,"Fresno County","46,608","45,037 to 48,179"
2016,6019,"Fresno County","48,323","46,498 to 50,148"
2017,6019,"Fresno County","51,452","49,837 to 53,067"
2018,6019,"Fresno County","52,318","50,516 to 54,120"
2019,6019,"Fresno County","56,926","54,617 to 59,235"
2010,6023,"Humboldt County","38,254","36,328 to 40,180"
2011,6023,"Humboldt County","39,526","36,612 to 42,440"
2012,6023,"Humboldt County","39,837","37,599 to 42,075"
2013,6023,"Humboldt County","40,882","37,962 to 43,802"
2014,6023,"Humboldt County","40,581","38,005 to 43,157"
2015,6023,"Humboldt County","40,739","38,828 to 42,650"
2016,6023,"Humboldt County","43,164","40,800 to 45,528"
2017,6023,"Humboldt County","46,123","42,221 to 50,025"
2018,6023,"Humboldt County","49,471","46,564 to 52,378"
2019,6023,"Humboldt County","51,134","47,446 to 54,822"
2010,6025,"Imperial County","39,261","36,732 to 41,790"
2011,6025,"Imperial County","36,898","33,864 to 39,932"
2012,6025,"Imperial County","38,185","35,207 to 41,163"
2013,6025,"Imperial County","40,106","37,354 to 42,858"
2014,6025,"Imperial County","38,737","35,433 to 42,041"
2015,6025,"Imperial County","39,925","36,982 to 42,868"
2016,6025,"Imperial County","43,327","39,808 to 46,846"
2017,6025,"Imperial County","43,413","39,624 to 47,202"
2018,6025,"Imperial County","46,633","43,249 to 50,017"
2019,6025,"Imperial County","48,102","45,177 to 51,027"
2010,6037,"Los Angeles County","52,595","51,980 to 53,210"
2011,6037,"Los Angeles County","52,239","51,779 to 52,699"
2012,6037,"Los Angeles County","52,929","52,413 to 53,445"
2013,6037,"Los Angeles County","54,443","53,872 to 55,014"
2014,6037,"Los Angeles County","55,686","55,165 to 56,207"
2015,6037,"Los Angeles County","59,045","58,460 to 59,630"
2016,6037,"Los Angeles County","61,308","60,930 to 61,686"
2017,6037,"Los Angeles County","64,912","64,252 to 65,572"
2018,6037,"Los Angeles County","67,986","67,293 to 68,679"
2019,6037,"Los Angeles County","72,721","72,077 to 73,365"
2010,6059,"Orange County","70,727","69,836 to 71,618"
2011,6059,"Orange County","72,046","70,867 to 73,225"
2012,6059,"Orange County","71,866","71,125 to 72,607"
2013,6059,"Orange County","73,827","72,557 to 75,097"
2014,6059,"Orange County","76,061","74,857 to 77,265"
2015,6059,"Orange County","78,002","76,455 to 79,549"
2016,6059,"Orange County","81,642","80,503 to 82,781"
2017,6059,"Orange County","86,031","84,891 to 87,171"
2018,6059,"Orange County","89,373","87,793 to 90,953"
2019,6059,"Orange County","95,761","94,655 to 96,867"
2010,6065,"Riverside County","53,981","52,783 to 55,179"
2011,6065,"Riverside County","52,491","50,946 to 54,036"
2012,6065,"Riverside County","52,416","51,253 to 53,579"
2013,6065,"Riverside County","53,909","52,768 to 55,050"
2014,6065,"Riverside County","56,877","56,024 to 57,730"
2015,6065,"Riverside County","57,895","56,337 to 59,453"
2016,6065,"Riverside County","59,951","58,727 to 61,175"
2017,6065,"Riverside County","63,776","62,674 to 64,878"
2018,6065,"Riverside County","66,793","65,743 to 67,843"
2019,6065,"Riverside County","72,905","71,384 to 74,426"
2010,6067,"Sacramento County","52,655","51,447 to 53,863"
2011,6067,"Sacramento County","52,236","50,918 to 53,554"
2012,6067,"Sacramento County","52,617","51,446 to 53,788"
2013,6067,"Sacramento County","52,980","51,601 to 54,359"
2014,6067,"Sacramento County","55,803","54,725 to 56,881"
2015,6067,"Sacramento County","58,735","57,074 to 60,396"
2016,6067,"Sacramento County","59,728","58,257 to 61,199"
2017,6067,"Sacramento County","62,959","61,303 to 64,615"
2018,6067,"Sacramento County","69,475","67,976 to 70,974"
2019,6067,"Sacramento County","71,891","70,566 to 73,216"
2010,6071,"San Bernardino County","52,270","51,080 to 53,460"
2011,6071,"San Bernardino County","51,017","49,919 to 52,115"
2012,6071,"San Bernardino County","50,603","49,687 to 51,519"
2013,6071,"San Bernardino County","52,112","51,062 to 53,162"
2014,6071,"San Bernardino County","51,951","51,101 to 52,801"
2015,6071,"San Bernardino County","53,526","52,093 to 54,959"
2016,6071,"San Bernardino County","56,194","55,093 to 57,295"
2017,6071,"San Bernardino County","60,270","59,303 to 61,237"
2018,6071,"San Bernardino County","63,310","61,644 to 64,976"
2019,6071,"San Bernardino County","67,398","65,585 to 69,211"
2010,6073,"San Diego County","59,759","58,702 to 60,816"
2011,6073,"San Diego County","59,290","57,977 to 60,603"
2012,6073,"San Diego County","60,235","59,391 to 61,079"
2013,6073,"San Diego County","61,365","60,604 to 62,126"
2014,6073,"San Diego County","66,034","65,066 to 67,002"
2015,6073,"San Diego County","67,053","65,770 to 68,336"
2016,6073,"San Diego County","70,693","69,810 to 71,576"
2017,6073,"San Diego County","76,048","75,141 to 76,955"
2018,6073,"San Diego County","78,777","77,510 to 80,044"
2019,6073,"San Diego County","83,576","81,951 to 85,201"
2010,6083,"Santa Barbara County","56,243","54,087 to 58,399"
2011,6083,"Santa Barbara County","59,494","57,230 to 61,758"
2012,6083,"Santa Barbara County","60,683","58,687 to 62,679"
2013,6083,"Santa Barbara County","60,803","58,153 to 63,453"
2014,6083,"Santa Barbara County","62,116","59,007 to 65,225"
2015,6083,"Santa Barbara County","63,049","60,944 to 65,154"
2016,6083,"Santa Barbara County","66,360","63,599 to 69,121"
2017,6083,"Santa Barbara County","70,651","68,846 to 72,456"
2018,6083,"Santa Barbara County","75,646","72,700 to 78,592"
2019,6083,"Santa Barbara County","74,530","70,737 to 78,323"
2010,6085,"Santa Clara County","84,627","82,907 to 86,347"
2011,6085,"Santa Clara County","84,741","83,335 to 86,147"
2012,6085,"Santa Clara County","91,195","89,948 to 92,442"
2013,6085,"Santa Clara County","91,843","90,443 to 93,243"
2014,6085,"Santa Clara County","97,219","95,336 to 99,102"
2015,6085,"Santa Clara County","102,191","100,870 to 103,512"
2016,6085,"Santa Clara County","110,843","109,222 to 112,464"
2017,6085,"Santa Clara County","118,468","115,818 to 121,118"
2018,6085,"Santa Clara County","125,933","123,281 to 128,585"
2019,6085,"Santa Clara County","132,444","129,361 to 135,527"
2010,6095,"Solano County","62,948","60,252 to 65,644"
2011,6095,"Solano County","63,090","60,115 to 66,065"
2012,6095,"Solano County","61,976","60,301 to 63,651"
2013,6095,"Solano County","63,398","60,444 to 66,352"
2014,6095,"Solano County","67,106","63,857 to 70,355"
2015,6095,"Solano County","67,202","64,618 to 69,786"
2016,6095,"Solano County","73,200","70,308 to 76,092"
2017,6095,"Solano County","75,931","71,905 to 79,957"
2018,6095,"Solano County","82,808","79,560 to 86,056"
2019,6095,"Solano County","85,704","82,408 to 89,000"
2010,8000,"Colorado","54,411","53,726 to 55,096"
2011,8000,"Colorado","55,530","54,944 to 56,116"
2012,8000,"Colorado","56,880","56,305 to 57,455"
2013,8000,"Colorado","58,942","58,171 to 59,713"
2014,8000,"Colorado","61,324","60,846 to 61,802"
2015,8000,"Colorado","63,945","63,089 to 64,801"
2016,8000,"Colorado","65,718","65,097 to 66,339"
2017,8000,"Colorado","69,113","68,361 to 69,865"
2018,8000,"Colorado","71,949","71,309 to 72,589"
2019,8000,"Colorado","77,104","76,329 to 77,879"
2010,8001,"Adams County","52,785","51,071 to 54,499"
2011,8001,"Adams County","52,429","50,676 to 54,182"
2012,8001,"Adams County","55,695","54,212 to 57,178"
2013,8001,"Adams County","54,876","52,548 to 57,204"
2014,8001,"Adams County","59,316","57,334 to 61,298"
2015,8001,"Adams County","62,991","61,110 to 64,872"
2016,8001,"Adams County","65,442","63,277 to 67,607"
2017,8001,"Adams County","65,977","63,110 to 68,844"
2018,8001,"Adams County","70,199","67,752 to 72,646"
2019,8001,"Adams County","75,341","72,963 to 77,719"
2010,8031,"Denver County","45,415","44,082 to 46,748"
2011,8031,"Denver County","47,584","45,846 to 49,322"
2012,8031,"Denver County","50,455","48,999 to 51,911"
2013,8031,"Denver County","51,156","49,971 to 52,341"
2014,8031,"Denver County","54,872","53,049 to 56,695"
2015,8031,"Denver County","57,886","55,451 to 60,321"
2016,8031,"Denver County","61,038","59,663 to 62,413"
2017,8031,"Denver County","64,974","62,532 to 67,416"
2018,8031,"Denver County","68,069","65,476 to 70,662"
2019,8031,"Denver County","75,456","73,748 to 77,164"
2010,9000,"Connecticut","64,321","63,372 to 65,270"
2011,9000,"Connecticut","65,822","65,021 to 66,623"
2012,9000,"Connecticut","67,275","66,463 to 68,087"
2013,9000,"Connecticut","67,262","66,279 to 68,245"
2014,9000,"Connecticut","70,007","69,219 to 70,795"
2015,9000,"Connecticut","71,333","70,573 to 72,093"
2016,9000,"Connecticut","73,380","72,386 to 74,374"
2017,9000,"Connecticut","74,428","73,203 to 75,653"
2018,9000,"Connecticut","76,366","75,484 to 77,248"
2019,9000,"Connecticut","78,920","77,639 to 80,201"
2010,9001,"Fairfield County","74,634","72,009 to 77,259"
2011,9001,"Fairfield County","77,065","74,858 to 79,272"
2012,9001,"Fairfield County","79,536","77,276 to 81,796"
2013,9001,"Fairfield County","81,816","79,824 to 83,808"
2014,9001,"Fairfield County","85,336","82,686 to 87,986"
2015,9001,"Fairfield County","86,297","84,001 to 88,593"
2016,9001,"Fairfield County","89,954","87,192 to 92,716"
2017,9001,"Fairfield County","91,170","88,902 to 93,438"
2018,9001,"Fairfield County","91,183","88,535 to 93,831"
2019,9001,"Fairfield County","96,966","93,161 to 100,771"
2010,9003,"Hartford County","60,028","58,194 to 61,862"
2011,9003,"Hartford County","60,947","59,739 to 62,155"
2012,9003,"Hartford County","63,374","61,346 to 65,402"
2013,9003,"Hartford County","63,491","61,339 to 65,643"
2014,9003,"Hartford County","65,809","64,332 to 67,286"
2015,9003,"Hartford County","69,260","67,005 to 71,515"
2016,9003,"Hartford County","69,341","67,118 to 71,564"
2017,9003,"Hartford County","70,433","68,420 to 72,446"
2018,9003,"Hartford County","73,037","70,717 to 75,357"
2019,9003,"Hartford County","75,336","73,281 to 77,391"
2010,9005,"Litchfield County","66,076","62,205 to 69,947"
2011,9005,"Litchfield County","68,658","65,579 to 71,737"
2012,9005,"Litchfield County","67,746","64,754 to 70,738"
2013,9005,"Litchfield County","70,519","67,462 to 73,576"
2014,9005,"Litchfield County","73,413","70,929 to 75,897"
2015,9005,"Litchfield County","70,847","67,437 to 74,257"
2016,9005,"Litchfield County","76,323","72,223 to 80,423"
2017,9005,"Litchfield County","77,968","74,165 to 81,771"
2018,9005,"Litchfield County","76,304","72,739 to 79,869"
2019,9005,"Litchfield County","81,015","77,226 to 84,804"
2010,9009,"New Haven County","57,070","55,483 to 58,657"
2011,9009,"New Haven County","58,985","56,723 to 61,247"
2012,9009,"New Haven County","59,217","57,416 to 61,018"
2013,9009,"New Haven County","58,672","56,561 to 60,783"
2014,9009,"New Haven County","60,387","58,809 to 61,965"
2015,9009,"New Haven County","61,758","60,537 to 62,979"
2016,9009,"New Haven County","66,012","64,242 to 67,782"
2017,9009,"New Haven County","66,764","64,782 to 68,746"
2018,9009,"New Haven County","67,720","65,318 to 70,122"
2019,9009,"New Haven County","69,687","66,999 to 72,375"
2010,11000,"District of Columbia","60,729","59,552 to 61,906"
2011,11000,"District of Columbia","62,087","60,432 to 63,742"
2012,11000,"District of Columbia","65,231","63,678 to 66,784"
2013,11000,"District of Columbia","66,326","64,245 to 68,407"
2014,11000,"District of Columbia","69,992","68,375 to 71,609"
2015,11000,"District of Columbia","73,115","71,082 to 75,148"
2016,11000,"District of Columbia","74,093","71,880 to 76,306"
2017,11000,"District of Columbia","80,153","78,132 to 82,174"
2018,11000,"District of Columbia","82,533","80,186 to 84,880"
2019,11000,"District of Columbia","90,395","88,226 to 92,564"
2010,11001,"District of Columbia","60,729","59,552 to 61,906"
2011,11001,"District of Columbia","62,087","60,432 to 63,742"
2012,11001,"District of Columbia","65,231","63,678 to 66,784"
2013,11001,"District of Columbia","66,326","64,245 to 68,407"
2014,11001,"District of Columbia","69,992","68,375 to 71,609"
2015,11001,"District of Columbia","73,115","71,082 to 75,148"
2016,11001,"District of Columbia","74,093","71,880 to 76,306"
2017,11001,"District of Columbia","80,153","78,132 to 82,174"
2018,11001,"District of Columbia","82,533","80,186 to 84,880"
2019,11001,"District of Columbia","90,395","88,226 to 92,564"
2010,12000,"Florida","44,390","44,071 to 44,709"
2011,12000,"Florida","44,250","43,850 to 44,650"
2012,12000,"Florida","45,006","44,664 to 45,348"
2013,12000,"Florida","46,021","45,714 to 46,328"
2014,12000,"Florida","47,439","47,113 to 47,765"
2015,12000,"Florida","49,416","49,087 to 49,745"
2016,12000,"Florida","50,857","50,616 to 51,098"
2017,12000,"Florida","52,582","52,221 to 52,943"
2018,12000,"Florida","55,433","55,052 to 55,814"
2019,12000,"Florida","59,198","58,758 to 59,638"
2010,12011,"Broward County","47,917","46,717 to 49,117"
2011,12011,"Broward County","48,478","46,909 to 50,047"
2012,12011,"Broward County","49,564","48,622 to 50,506"
2013,12011,"Broward County","50,343","49,597 to 51,089"
2014,12011,"Broward County","51,485","50,524 to 52,446"
2015,12011,"Broward County","53,624","52,230 to 55,018"
2016,12011,"Broward County","54,055","52,568 to 55,542"
2017,12011,"Broward County","56,702","55,482 to 57,922"
2018,12011,"Broward County","57,200","55,857 to 58,543"
2019,12011,"Broward County","61,429","60,383 to 62,475"
2010,12031,"Duval County","46,112","44,920 to 47,304"
2011,12031,"Duval County","45,995","44,262 to 47,728"
2012,12031,"Duval County","43,835","42,217 to 45,453"
2013,12031,"Duval County","47,876","46,362 to 49,390"
2014,12031,"Duval County","46,013","44,573 to 47,453"
2015,12031,"Duval County","49,565","48,256 to 50,874"
2016,12031,"Duval County","51,948","50,764 to 53,132"
2017,12031,"Duval County","52,105","50,735 to 53,475"
2018,12031,"Duval County","55,733","53,894 to 57,572"
2019,12031,"Duval County","58,339","56,094 to 60,584"
2010,12057,"Hillsborough County","46,043","45,054 to 47,032"
2011,12057,"Hillsborough County","46,592","45,345 to 47,839"
2012,12057,"Hillsborough County","46,534","45,247 to 47,821"
2013,12057,"Hillsborough County","49,510","48,264 to 50,756"
2014,12057,"Hillsborough County","50,758","49,897 to 51,619"
2015,12057,"Hillsborough County","51,710","50,813 to 52,607"
2016,12057,"Hillsborough County","54,509","53,151 to 55,867"
2017,12057,"Hillsborough County","54,741","53,324 to 56,158"
2018,12057,"Hillsborough County","58,361","56,728 to 59,994"
2019,12057,"Hillsborough County","61,133","60,033 to 62,233"
2010,12086,"Miami-Dade County","40,145","39,452 to 40,838"
2011,12086,"Miami-Dade County","40,476","39,777 to 41,175"
2012,12086,"Miami-Dade County","41,311","40,714 to 41,908"
2013,12086,"Miami-Dade County","41,840","41,245 to 42,435"
2014,12086,"Miami-Dade County","42,754","41,720 to 43,788"
2015,12086,"Miami-Dade County","43,687","42,709 to 44,665"
2016,12086,"Miami-Dade County","45,886","45,219 to 46,553"
2017,12086,"Miami-Dade County","49,758","48,866 to 50,650"
2018,12086,"Miami-Dade County","52,043","51,208 to 52,878"
2019,12086,"Miami-Dade County","54,991","53,878 to 56,104"
2010,12095,"Orange County","45,105","43,884 to 46,326"
2011,12095,"Orange County","44,635","42,890 to 46,380"
2012,12095,"Orange County","45,565","44,352 to 46,778"
2013,12095,"Orange County","46,675","45,599 to 47,751"
2014,12095,"Orange County","47,069","45,721 to 48,417"
2015,12095,"Orange County","50,593","49,368 to 51,818"
2016,12095,"Orange County","51,312","50,295 to 52,329"
2017,12095,"Orange County","54,021","52,629 to 55,413"
2018,12095,"Orange County","58,037","55,840 to 60,234"
2019,12095,"Orange County","63,133","61,393 to 64,873"
2010,12103,"Pinellas County","42,628","41,462 to 43,794"
2011,12103,"Pinellas County","42,761","41,380 to 44,142"
2012,12103,"Pinellas County","44,819","43,661 to 45,977"
2013,12103,"Pinellas County","43,773","42,684 to 44,862"
2014,12103,"Pinellas County","45,162","44,085 to 46,239"
2015,12103,"Pinellas County","47,591","46,465 to 48,717"
2016,12103,"Pinellas County","49,974","48,761 to 51,187"
2017,12103,"Pinellas County","51,488","50,397 to 52,579"
2018,12103,"Pinellas County","52,226","50,929 to 53,523"
2019,12103,"Pinellas County","56,708","55,444 to 57,972"
2010,13000,"Georgia","46,252","45,792 to 46,712"
2011,13000,"Georgia","45,886","45,438 to 46,334"
2012,13000,"Georgia","47,125","46,750 to 47,500"
2013,13000,"Georgia","47,765","47,154 to 48,376"
2014,13000,"Georgia","49,240","48,708 to 49,772"
2015,13000,"Georgia","51,225","50,856 to 51,594"
2016,13000,"Georgia","53,468","52,778 to 54,158"
2017,13000,"Georgia","56,117","55,555 to 56,679"
2018,13000,"Georgia","58,634","57,940 to 59,328"
2019,13000,"Georgia","61,950","61,517 to 62,383"
2010,13089,"DeKalb County","47,068","45,519 to 48,617"
2011,13089,"DeKalb County","48,293","46,299 to 50,287"
2012,13089,"DeKalb County","49,061","47,503 to 50,619"
2013,13089,"DeKalb County","49,894","47,860 to 51,928"
2014,13089,"DeKalb County","50,597","49,296 to 51,898"
2015,13089,"DeKalb County","53,994","51,584 to 56,404"
2016,13089,"DeKalb County","56,053","53,839 to 58,267"
2017,13089,"DeKalb County","61,496","59,597 to 63,395"
2018,13089,"DeKalb County","63,477","60,292 to 66,662"
2019,13089,"DeKalb County","63,606","60,666 to 66,546"
2010,13121,"Fulton County","53,580","51,706 to 55,454"
2011,13121,"Fulton County","54,893","52,313 to 57,473"
2012,13121,"Fulton County","55,816","53,891 to 57,741"
2013,13121,"Fulton County","55,474","53,847 to 57,101"
2014,13121,"Fulton County","55,516","53,942 to 57,090"
2015,13121,"Fulton County","59,911","58,348 to 61,474"
2016,13121,"Fulton County","62,824","60,272 to 65,376"
2017,13121,"Fulton County","64,901","63,093 to 66,709"
2018,13121,"Fulton County","70,808","69,679 to 71,937"
2019,13121,"Fulton County","79,235","76,908 to 81,562"
2010,15000,"Hawaii","62,774","61,500 to 64,048"
2011,15000,"Hawaii","62,071","61,102 to 63,040"
2012,15000,"Hawaii","66,086","64,683 to 67,489"
2013,15000,"Hawaii","67,798","66,428 to 69,168"
2014,15000,"Hawaii","69,549","68,236 to 70,862"
2015,15000,"Hawaii","73,097","71,322 to 74,872"
2016,15000,"Hawaii","74,659","73,083 to 76,235"
2017,15000,"Hawaii","77,936","76,340 to 79,532"
2018,15000,"Hawaii","80,527","78,756 to 82,298"
2019,15000,"Hawaii","83,734","81,783 to 85,685"
2010,15003,"Honolulu County","67,519","65,610 to 69,428"
2011,15003,"Honolulu County","65,489","63,553 to 67,425"
2012,15003,"Honolulu County","70,779","69,478 to 72,080"
2013,15003,"Honolulu County","72,649","71,213 to 74,085"
2014,15003,"Honolulu County","73,985","72,489 to 75,481"
2015,15003,"Honolulu County","76,544","75,009 to 78,079"
2016,15003,"Honolulu County","80,012","78,639 to 81,385"
2017,15003,"Honolulu County","80,947","79,642 to 82,252"
2018,15003,"Honolulu County","83,695","81,839 to 85,551"
2019,15003,"Honolulu County","86,946","85,089 to 88,803"
2010,16000,"Idaho","43,259","42,380 to 44,138"
2011,16000,"Idaho","43,345","42,213 to 44,477"
2012,16000,"Idaho","45,296","44,435 to 46,157"
2013,16000,"Idaho","46,621","45,745 to 47,497"
2014,16000,"Idaho","47,572","46,434 to 48,710"
2015,16000,"Idaho","48,311","47,281 to 49,341"
2016,16000,"Idaho","51,647","50,736 to 52,558"
2017,16000,"Idaho","52,280","51,448 to 53,112"
2018,16000,"Idaho","55,524","54,649 to 56,399"
2019,16000,"Idaho","60,830","59,799 to 61,861"
2010,16001,"Ada County","50,909","49,527 to 52,291"
2011,16001,"Ada County","50,701","48,274 to 53,128"
2012,16001,"Ada County","54,337","51,732 to 56,942"
2013,16001,"Ada County","53,420","50,908 to 55,932"
2014,16001,"Ada County","57,908","55,704 to 60,112"
2015,16001,"Ada County","58,431","55,154 to 61,708"
2016,16001,"Ada County","61,571","59,332 to 63,810"
2017,16001,"Ada County","61,469","59,079 to 63,859"
2018,16001,"Ada County","66,827","64,180 to 69,474"
2019,16001,"Ada County","72,295","69,224 to 75,366"
2010,17000,"Illinois","52,967","52,541 to 53,393"
2011,17000,"Illinois","53,271","52,773 to 53,769"
2012,17000,"Illinois","55,126","54,725 to 55,527"
2013,17000,"Illinois","56,212","55,814 to 56,610"
